A-785,mynd,SLoPP,rating,SLoPPE,rating,KnowItAll,rating
1,,Polyvinyl Chloride 2,51.91,Dyed Cellulose 4,48.35,Samsett litróf*,68.39
2,,Polyethylene 25,91.64,Polyethylene 23,73.81,Loxiol HOB,81.53
3,,Polyethylene Terephthalate 14,20.39,Polyurethane 6,25.86,,
4,,Polypropylene 10,78.83,Polypropylene 10,78.14,,
5,,Polypropylene 5,93.27,Polypropylene 16,94.94,Rutile,89.96
8,,Polyethylene 19,82.34,Polyethylene 25,83.53,Samsett litróf**,70.42
10,,Polyurethane 7,42.08,Polystyrene-co-Polyvinyl Chloride 1,44.26,,
12,,Polyvinyl Chloride 6,32.89,Polystyrene 3,35.84,,
13,,Polyethylene 26,97.5,Polyethylene 16,97.2,Polyethylene,82.62
14,,Polyester 3,86.87,Polyester 1,85.45,Samsett litróf***,84.64
15,,Polypropylene 10,50.47,Polypropylene 10,51.48,Samsett litróf****,72.86
